episode,timestep,return
651,51903,335.9020679600016
652,52034,322.98674653943317
653,52149,307.73603337176723
654,52286,334.70434599664736
655,52418,325.67624772019946
656,52537,307.1794003705612
657,52687,349.2465018452307
658,52837,345.9058056858684
659,52882,-57.37420652637287
660,53025,340.22579096252815
661,53167,338.17905938774385
662,53214,-105.1785072946116
663,53373,360.5394713041345
664,53510,333.93627133991976
665,53714,413.3511601127189
666,53880,374.4847038538169
667,54065,396.0097235672213
668,54233,373.0748535458298
669,54404,378.86139278144094
670,54562,361.9461986296635
671,54741,388.0444259455479
672,54941,415.9205286050767
673,55109,374.01781471438045
674,55289,387.33448165721035
675,55441,360.77494708428736
676,55602,366.7124908776292
677,55810,430.12764301983225
678,55991,392.49410720459446
679,56047,-73.8347515557842
680,56240,406.76440092878175
681,56483,473.72596678340307
682,56652,379.3557575507756
683,56830,387.92952328339163
684,57000,383.27235086769247
685,57218,441.0617611662176
686,57378,366.4209700835914
687,57452,-20.522495649580204
688,57631,390.92904150079335
689,57847,440.9851457233334
690,57890,-27.32957515532415
691,58052,365.47871518064767
692,58222,375.51942117352536
693,58395,382.614323376226
694,58594,417.18970416416016
695,58807,434.739082042475
696,58968,368.06312447131427
697,59120,357.4320191459539
698,59288,374.12439481916704
699,59450,366.4351347715036
700,59525,-100.48848413738382
701,59741,439.53240161387055
702,59910,376.4167815943342
703,60069,367.0237525149072
704,60268,414.9932509727109
705,60445,387.31146636661003
706,60636,405.7618076938988
707,60825,401.96626397740005
708,61006,389.6129865314812
709,61180,380.49375686646107
710,61352,382.2159714840436
711,61544,405.1558477743251
712,61750,425.0693423091561
713,61935,394.9764179518664
714,61992,-55.824755557205876
715,62211,441.98311876021313
716,62264,-83.43986489019504
717,62460,413.4545817224463
718,62692,464.9154324015148
719,62891,414.738915135692
720,63098,428.0904635868573
721,63185,-102.46203305088585
722,63420,462.7258096859473
723,63616,414.87696399972106
724,63861,477.2491621178452
725,63916,-4.085284437553355
726,64169,478.99334039799385
727,64368,418.0021940764741
728,64630,501.76913584916844
